"filename","nome","titolo","anno","chunk","DIL"
"Guglielminetti_Amalia-Gli_occhi_cerchiati_d_azzurro-1920","Guglielminetti Amalia","Gli occhi cerchiati d azzurro","1920","﻿Gli occhi cerchiati d’azzurro L’automobile si fermò in mezzo al cortile e Livio Moltesi-Dauri balzò a terra. Subito, in cima alla breve gradinata di marmo a chiazze verdi, fiancheggiata da due ringhiere di ferro arrugginito, apparve un uomo cinquantenne, qualcosa d’incerto fra il servitore e il contadino, il quale lo esaminò un momento ad occhi socchiusi, curiosamente, prima di scendere ad incontrarlo. Ma quando si risolvette, Livio era già presso di lui e gli chiedeva con un tono impaziente: — Sono in casa le signore?","NO"
"Guglielminetti_Amalia-Gli_occhi_cerchiati_d_azzurro-1920","Guglielminetti Amalia","Gli occhi cerchiati d azzurro","1920","Aveva appena gettato uno sguardo alla grande facciata nera e liscia della casa, aveva appena avvertito il senso di tetra durezza, di malinconica superbia che pareva emanare da quella vecchia costruzione quadrata, su cui le finestre e le porte s’incorniciavano di una larga fascia bianca, staccata e contrastante sul fosco colore delle pareti con un effetto di lugubre fastosità. Ma nell’interno l’ombra raccolta sotto le altissime vôlte dipinte, un incerto odore di affumicato e di ammuffito, un soffio greve d’umidità, una cupa risonanza d’echi gli comunicarono un brivido. In piedi, nella vastissima sala terrena dal freddo impiantito all’uso veneziano, dove alcuni antichi e brutti mobili oscuri parevano cercare gli angoli bui per rifugiarsi e nascondersi, Livio lasciava errare lo sguardo oltre l’inferriata della grande finestra, sulla disordinata e mobile vegetazione che circondava per tre lati la casa, più simile a una boscaglia che a un giardino, per allietarsi in qualche cosa che fosse vivo, fresco, leggiadro, come la creatura ch’egli attendeva.","NO"
"Guglielminetti_Amalia-Gli_occhi_cerchiati_d_azzurro-1920","Guglielminetti Amalia","Gli occhi cerchiati d azzurro","1920","— Le signore la pregano di salire. Livio Moltesi-Dauri percorse dietro i passi dell’uomo, mezzo servo e mezzo contadino, due branche di scala a gradini bassi e larghi di pietra corrosa, fiancheggiati da ringhiere di ferro battuto, si trovò in un vasto studio dalle pareti interamente coperte di scaffali traboccanti di libri, dove non appariva quasi altro arredo che una grande scrivania a colonnine d’ebano e un piccolo cembalo laccato di bianco e dipinto a ghirlande arcaiche. Lo sguardo di lassù spaziava sul calmo paesaggio autunnale delle Langhe, di quella terra fra Piemonte e Liguria che non è ancora marittima e non è più alpestre, ma ha della vicina montagna la glauca ombra delle conifere e del mare non lontano la blanda mitezza del cielo che le sovrasta.","NO"
"Guglielminetti_Amalia-Gli_occhi_cerchiati_d_azzurro-1920","Guglielminetti Amalia","Gli occhi cerchiati d azzurro","1920","I colli appena ondulati che allacciano e confondono dolcemente gli estremi anelli di due catene di monti, si delineavano sul prossimo orizzonte e lo costringevano in una specie di anfiteatro vegetale digradante più e più verso una ristretta pianura tutta fresca e verde. Nel sereno pomeriggio ancora tepido si intorpidivano all’ultimo sole i pascoli bassi e i campi bruni arati di fresco, s’accendevano di bagliori rossi le lunghe vigne già vendemmiate che fasciavano i piedi dei poggi, frusciavano appena sui loro fianchi i boschi espansi di castagni già chiazzati di giallo e di rossigno, ma sulle vette i foschi pini s’irrigidivano puntandosi al cielo, nella loro dura austerità di begli alberi puri ed immutabili. Avvezzo alle linee discrete ed ai festosi colori di quel paesaggio, ch’era stato tanto familiare alla sua puerizia ed alla sua adolescenza, Livio lo amava e lo comprendeva come un volto d’amico fidato e fiducioso, sentendosi confusamente lieto, pure in mezzo a una sua indefinibile ansia, che questo e non un altro lo assistesse e gli consentisse in quell’ora.","NO"
"Guglielminetti_Amalia-Gli_occhi_cerchiati_d_azzurro-1920","Guglielminetti Amalia","Gli occhi cerchiati d azzurro","1920","La porta a un solo battente e a grossi cardini s’aperse con un cigolio lungo e apparvero le due signore della casa. Erano madre e figlia ed entrambe vestivano a lutto, ma non una linea dei loro volti e delle loro persone si rassomigliava. Il giovane ebbe d’un tratto sotto lo sguardo il contrasto violento di quelle due teste così diverse, l’una incoronata di chiome bianche, crespe e leggere intorno ad un volto magro e appassito, sebbene d’espressione dolcissima nella sua stanca maturità, l’altra costretta in un casco lucido e liscio di capelli neri tagliati a frangia diritta presso le sopracciglia, sopra un bel volto superbo, a tratti regolari e un po’ duri, ma tutto rorido e fresco di giovinezza.","NO"
"Guglielminetti_Amalia-Gli_occhi_cerchiati_d_azzurro-1920","Guglielminetti Amalia","Gli occhi cerchiati d azzurro","1920","Già alcuni giorni innanzi, viaggiando in un lento treno verso la città lontana, Livio Moltesi-Dauri s’era imbattuto in quelle due ignote signore così severe e attiranti nel loro strettissimo lutto, e ripetutamente s’era domandato quale parentela potesse unire due creature tanto dissimili, indugiando quindi con molta maggior compiacenza nella contemplazione della più giovane, la quale lo abbagliava a tratti corrispondendo al suo sguardo col rapido balenare dei suoi grandi occhi neri cerchiati di un’ombra azzurra. A mezza via era salito nel loro scompartimento un suo antico conoscente, l’avvocato Franchi, addetto allo studio del notaio Dossi il suo legale, il quale dopo aver salutato cerimoniosamente le due viaggiatrici, gli aveva sottovoce sciolto l’enigma informandolo ch’esse erano le signore Reani, madre e figlia, proprietarie di grandi tenute nelle Langhe e clienti esse pure del notaio Dossi. Livio chiese di essere loro presentato e poco dopo l’avvocato Franchi scendeva, lasciandolo intento ad annodare con le due signore una di quelle faticose conversazioni fra estranei, in cui la curiosità frenata dalla correttezza, trattiene, inquieta e stimola al tempo stesso.","NO"
"Guglielminetti_Amalia-Gli_occhi_cerchiati_d_azzurro-1920","Guglielminetti Amalia","Gli occhi cerchiati d azzurro","1920","Avevano così scoperto a grado a grado che le loro parentele, stabilite quasi da secoli in quella medesima terra, erano state fin dai tempi più lontani legate da amichevoli rapporti e da comuni interessi e che parecchi ricordi se ne conservano nelle reciproche famiglie, e Moltesi aveva rispettosamente espresso la speranza di continuare tali antiche tradizioni di cordialità. Molte volte passando lungo la tortuosa strada provinciale, prima in carrozza con suo padre, poi solo o con qualche amico in automobile, Livio aveva notato la grande casa nera dalle finestre incorniciate di bianco, chiamata per la vetustà secolare e l’imponenza della mole «il Castello», emergente tutta tetra, uggita ed orgogliosa fra le casupole del villaggio raggruppato umilmente al suo piede, e s’era domandato con una blanda curiosità e una vaga compassione quali strane persone potessero abitarvi e quale tediosa vita dovesse svolgersi lassù. Conosceva appena l’esistenza del vecchio avvocato Reani, malato misantropo e deluso nelle ambizioni politiche, il quale trascorreva i suoi giorni rinchiuso là dentro con una moglie ed una figliuola e vagamente gli era giunta un anno prima notizia della sua morte.","NO"
"Guglielminetti_Amalia-Gli_occhi_cerchiati_d_azzurro-1920","Guglielminetti Amalia","Gli occhi cerchiati d azzurro","1920","Ed egli, scendendo dal treno, diretto in città alle proprie occupazioni quotidiane, aveva, per un curioso giuoco del caso, baciato la magra mano di quella moglie e stretto la mano sottile di quella figliuola, sentendo con un turbamento non ancora ben definito ma già profondo, che verso una strada nuova, alla quale gli era pure piacevolissimo avviarsi, lo traeva la bella creatura giovine con le sue piccole dita avvincenti. * — Sì, io mi chiamo Baldina. Non le piace questo nome?","NO"
"Guglielminetti_Amalia-Gli_occhi_cerchiati_d_azzurro-1920","Guglielminetti Amalia","Gli occhi cerchiati d azzurro","1920","— Mi piace perchè non l’ho mai inteso. — Soltanto per questo? — Perchè è il suo nome.","NO"
"Guglielminetti_Amalia-Gli_occhi_cerchiati_d_azzurro-1920","Guglielminetti Amalia","Gli occhi cerchiati d azzurro","1920","— Soltanto per questo? — Perchè ha un certo sapore di baldanza attenuata di femminilità. È un nome da medioevo che meriterebbe d’essere portato da una eroina cristiana, la quale montasse un cavallo nero e amasse senza speranza un giovane eroe vestito di ferro e di castità.","NO"
