"filename","nome","titolo","anno","chunk","DIL"
"Invernizio_Carolina-I_Sette_Capelli_D'Oro_Della_Fata_Gusmara-1909","Invernizio Carolina","I Sette Capelli D'Oro Della Fata Gusmara","1909","Falco e Topolina Falco era l'unico figlio di un povero taglialegna, che viveva in un misero casolare, posto nel centro della foresta. Egli aveva perduto sua madre all'età di tre anni e da quel giorno suo padre non gli rivolgeva più la parola, né sorrideva: il pover'uomo stava per ore ed ore intere seduto sopra un grosso ceppo, all'ombra di una querce secolare, con l'accetta fra le gambe, i gomiti puntati sulle ginocchia, chiuso nel suo mutismo, senza curarsi del bimbo, che ruzzava ai suoi piedi con dei piccoli ciottoli e non sospendeva il suo giuoco, che quando il padre, scosso un istante dal suo torpore entrava in casa per uscirne quasi tosto con un pezzo di pan nero, che gli porgeva in silenzio ed il fanciullo divorava fino all'ultima briciola.","NO"
"Invernizio_Carolina-I_Sette_Capelli_D'Oro_Della_Fata_Gusmara-1909","Invernizio Carolina","I Sette Capelli D'Oro Della Fata Gusmara","1909","Falco crebbe quindi senza conoscere i baci, le cure di una madre, le carezze, le parole amorose di suo padre. Era un bel fanciullo, dai grand'occhi intelligenti e sognatori, dal sorriso melanconico, triste. Figlio, si può dire, della foresta, avvezzo fino dalla più tenera età all'indipendenza del bosco nativo, egli amava quella solitudine, ne conosceva tutti i segreti, non aveva paura del buio, delle bestie, degli spiriti buoni e cattivi, che si diceva popolassero quel luogo, camminava delle miglia senza stancarsi, dormiva saporitamente tutta la notte, senza che i rumori strani e misteriosi della foresta turbassero il suo sonno tranquillo.","NO"
"Invernizio_Carolina-I_Sette_Capelli_D'Oro_Della_Fata_Gusmara-1909","Invernizio Carolina","I Sette Capelli D'Oro Della Fata Gusmara","1909","Durante la stagione delle piogge, nell'inverno, Falco seduto presso il focolare, mentre il padre fissava intento la fiamma, quasi volesse trarne qualche pronostico, cogli occhi smarriti, il pensiero lontano, intrecciava graziosi panieri, oppure con un piccolo coltello affilato, intagliava nella scorza di alberi dolci figurine, oggetti di fantasia, che mostravano il gusto artistico del fanciullo. Oppure sopra un sillabario, smarrito da qualcuno nella foresta, si sforzava ad imparare a leggere. E se il tempo era bello, andava a raccogliere nel bosco frutta, miele, erbe aromatiche e virtuose ed altri prodotti selvatici.","NO"
"Invernizio_Carolina-I_Sette_Capelli_D'Oro_Della_Fata_Gusmara-1909","Invernizio Carolina","I Sette Capelli D'Oro Della Fata Gusmara","1909","Ad otto anni, già si rendeva utile in casa. Era lui che si occupava delle piccole faccende domestiche, che cambiava le foglie dei letti, apprestava le magre pietanze, teneva in ordine, pulite le misere stoviglie. Alle volte si metteva a cantare, risvegliando gli uccelli del bosco, che prendevano lietamente parte a quei concerti, non bastanti però a scuotere l'apatia del taglialegna.","NO"
"Invernizio_Carolina-I_Sette_Capelli_D'Oro_Della_Fata_Gusmara-1909","Invernizio Carolina","I Sette Capelli D'Oro Della Fata Gusmara","1909","Ma una bella mattina di primavera, il vecchio, giacché dalla morte della moglie era incanutito, diventato curvo, parve svegliarsi da un lungo sonno e raddrizzando la magra persona, disse al figlio stupito: - Falco, andiamo al lavoro. - Entrambi presero l'accetta ed uscirono dal casolare. - Non andremo molto lontano, - soggiunse il taglialegna - ecco là un albero contorto, secolare, a metà seccato dal fulmine, che fa duopo abbattere.","NO"
"Invernizio_Carolina-I_Sette_Capelli_D'Oro_Della_Fata_Gusmara-1909","Invernizio Carolina","I Sette Capelli D'Oro Della Fata Gusmara","1909","- Eccomi pronto ad aiutarti, babbo, - rispose Falco. Si avvicinarono all'albero, che mostrava una larga apertura, come un profondo vano in cui poteva entrare un fanciullo. Falco scorse qualche cosa di bianco che si muoveva in fondo a quel vano: era certo un gatto ivi rifugiato.","NO"
"Invernizio_Carolina-I_Sette_Capelli_D'Oro_Della_Fata_Gusmara-1909","Invernizio Carolina","I Sette Capelli D'Oro Della Fata Gusmara","1909","Mise la testa dentro la spaccatura e gettò un grido. - Ebbene, che cosa c'è? - chiese il taglialegna con brusco tono.","NO"
"Invernizio_Carolina-I_Sette_Capelli_D'Oro_Della_Fata_Gusmara-1909","Invernizio Carolina","I Sette Capelli D'Oro Della Fata Gusmara","1909","- Hai veduto la strega del bosco? - No, babbo; è una bambina. - Prendila, portala fuori.","NO"
"Invernizio_Carolina-I_Sette_Capelli_D'Oro_Della_Fata_Gusmara-1909","Invernizio Carolina","I Sette Capelli D'Oro Della Fata Gusmara","1909","- Il fanciullo non si fece ripetere l'ordine. Sparì un istante, poi ricomparve, tenendo fra le braccia una creaturina, avviluppata in cenci, una bimba dai capelli neri, ricciuti, della quale sarebbe stato impossibile definire l'età, tanto era piccina, macilenta, scarna ed i lineamenti si mostravano avvizziti come quelli di una vecchia. - Come è brutta!","YES"
"Invernizio_Carolina-I_Sette_Capelli_D'Oro_Della_Fata_Gusmara-1909","Invernizio Carolina","I Sette Capelli D'Oro Della Fata Gusmara","1909","- osservò il taglialegna. - Certo i suoi genitori hanno voluto sbarazzarsene, non sapendo che fare di simile mostriciatto. Noi le avremmo reso un servizio lasciandola dov'era, non risparmiandola colla nostra accetta.","NO"
