author,work,year,doc_id,text,DIL,DIL_Sonnet,DIL_gpt_5_2
Baricelli,,,Baricelli_Carmela-I_Vinti_Ovvero_Il_Genio_Oppresso-1907.txt,"In questo frattempo arrivò Valerio, ben lontano dal pensare che si sarebbe incontrato coll'usurpatore del suo merito. Preso alloggio in un albergo differente da quello ove stava Armida, pensò subito alla cura della propria persona, quindi si dispose a far visita all'amata, come ne l'aveva già avvertita per lettera. Camin facendo, pensava all'etereo sguardo che egli aveva accolto e chiuso in cuore, quell'ultimo giorno, là nel giardino dell'operosa cartiera; pensava a quel sorriso che gli era penetrato nell'anima, commovendolo sino allo spasimo; a quella manina che gli si era offerta pel caldo bacio e che gli era passata sul labbro con una paradisiaca dolcezza, e in questo dolce sogno d'un recente passato, già pregustava altri sguardi, altri sorrisi, altre carezze.",no,no,no
Deledda_Grazia,Stella_d_oriente,1890.0,Deledda_Grazia-Stella_d_oriente-1890.txt,"Poi, tornando a Ninnia, ricordava che più di una volta, quando ancor fanciullo le aveva mancato di rispetto, aveva passato intere notti senza dormire pentendosi di ciò, sembrandogli che i dolci rimproveri da lei ricevuti si trasformassero in tante spine sparse nel suo letto che non sparivano se non allorché si alzava, batteva sommessamente all’uscio della nutrice e le chiedeva scusa. Poi, quand’egli viaggiando scriveva senza un motivo al mondo, a Ninnia, alla misteriosa gioia che provava nel leggere le sue risposte dalla grossa e sbagliata calligrafia, gioia che non sentiva neanche leggendo le lettere di don Francesco, di donna Anna e di Stella, non ancora amata che qual sorella; e la strana inquietitudine provata nell’apprendere una volta una grave malattia della vecchia. E il bacio, l’ultimo bacio da lui ricevuto al suo ritorno?",yes,yes,yes
Cantoni,,,Cantoni_Alberto-L'Illustrissimo-1906.txt,"Maria finse di rassegnarsi, ma non gli credette. Di fatto, mezz'ora dopo, il brillante sindaco di Abbiategrasso era già a parte del gran segreto. - Trovami fuori un mestiere di difficile applicabilità, - gli diceva Galeazzo, - che i miei villani non si sognino mai di mettermi alla prova. E permettimi di dormire in casa tua.",no,yes,no
Negri_Ada,Le_Solitarie,1917.0,Negri_Ada-Le_Solitarie-1917.txt,"Di guerra non se ne parlerebbe piú.
  Tic e tic, tic e tic, i lucidi ferri d'acciaio: tic e tac, tic e tac, il vecchio pendolo di legno posto sul caminetto, fra l'oleografia di Carmen e quella di Mignon. Non ha mai fatto altro, non ha mai vissuto in altra stanza che in questa, l'umile donna insaccata nel giubbetto nero, curva nelle spalle non tanto per vecchiaia quanto per lunga consuetudine d'obbedienza e di rassegnazione?
  A tratti l'uscio a vetri si socchiude.
  — È in casa il signor Cerri?
  — Secondo piano, uscio a destra.
  — Ho un pacco per la signorina Fiorilli.
  — Va bene. Lei non c'è; ma c'è la domestica.",yes,yes,yes
Viola,,,Viola_Ferretti_Emilia-A_quarantacinque_anni-1874.txt,"Lo sapeva, lo diceva, eppure aveva in sè qualcosa che di tempo in tempo gli gridava: Non è possibile, non è vero, tutto non è ancora esaurito! Quando il signor Marnieri sentiva queste intime e nascoste espressioni di ribellione, guardava con un mesto sorriso i figli già grandi che lo circondavano, l’operosa compagna, che da una timida giovinetta s’era fatta pingue e risoluta matrona; accoglieva gli attestati di riverenza e di considerazione che gli venivan sporti da tutte le parti, e non sapeva comprendere quello che v’era in lui di ribelle a tuttociò, – quale fosse la contradizione che provava in sè contro i fatti compiuti, cosa fosse questa illogica reazione contro il tempo che passa, e il non potere esaurire adeguatamente con esso quanto egli deve naturalmente consumare.",yes,yes,yes
Capuana,,,Capuana_Luigi-Il_Marchese_Di_Roccaverdina-1901.txt,"Dovevano fare così...» «Ma vi pare, papà!», lo interruppe il cavalier Pergola. «È quel che ho risposto io: ma vi pare!»",no,yes,no
Capuana,,,Capuana_Luigi-Il_Marchese_Di_Roccaverdina-1901.txt,"E il marchese era partito lasciando là il cavaliere che bestemmiava internamente, per rispetto della cugina. «Ci abbandona così, nelle peste! Dovreste persuaderlo voi», egli disse, rivolgendosi alla marchesa e giungendo le mani in atto di preghiera.",no,yes,no
Campanile_Achille,Giovinotti_non_esageriamo,1929.0,Campanile_Achille-Giovinotti_non_esageriamo-1929.txt,"Sbarbatosi e fatta colazione contemporaneamente, il barone si accinse a uscire con la motocicletta-bidè, ingegnoso congegno che permette agli uomini d’affari americani di completare la propria toletta, trasferendosi rapidamente da un punto all’altro della City. Ma, prima, volle farsi un’altra volta la barba, non perché ne avesse bisogno, ma perché è un piacere radersi col sapone americano Zaf.1 Anzi, questo è uno dei pochi piaceri che, nella lor vita vertiginosa, si concedano gli americani, a giudicare dal come tale piacere viene vantato in tutti i paesi del mondo, per mezzo di vignette nei manifesti e nei giornali. Mentre varcava il portone, il gentiluomo si sentì chiamare dal portiere che gli disse con voce lenta e solenne:
“C’è la solita lettera per lei”.",yes,yes,no
Deledda_Grazia,Stella_d_oriente,1890.0,Deledda_Grazia-Stella_d_oriente-1890.txt,"Stella si mostrava sempre calma, di una calma marmorea, impenetrabile, qualche volta allegra, sempre spiritosa, ma dentro di sé sentiva qualcosa di ardente, di terribilmente doloroso, come il sangue in febbre e il cuore fisicamente malato, e la sua suprema speranza era di ammalarsi, di morire naturalmente, morire fra poco, in quella casa ove s’accorgeva di non esser sola a soffrire…
Né s’ingannava. Anche Ruggero soffriva; anche a lui, nonostante la stessa calma finta, ruggiva qualcosa di terribile in cuore, che lo manteneva vivo: l’odio per l’uomo che non conosceva, ma che supponeva gli avesse rapito la felicità, sul cui capo Ruggero faceva cadere il sangue di miss Ellen! Il programma del giovine conte consisteva tutto nell’uccidere quel nemico, ma poi?",yes,yes,yes
Cantoni,,,Cantoni_Alberto-L'Illustrissimo-1906.txt,"Capirete, star sotto ai genitori e far la serva umilissima di un fratello coi calzoni, sono cose che si capiscono, ma piegare il collo davanti ad una cognatina in sottanucce, davanti ad una femminetta da men di lei... vengono i brividi a pensarci! E così il magnanimo Pompeo, coccolato e lisciato da mattina a sera, pareva un tordo nel miglio, un canonico nel burro. Date adunque le aspirazioni della nostra ragazza, vediamo un po' fino a che punto, auspice la Fortuna, aveva saputo e potuto adombrarle nei fatti.",no,yes,yes
